address,transferDate,priceEuro,transferType,blockchain,nftID
0x033fa3605dde940f48c8926a163295a0ddbe1bdea0b002f7018ba81fdddfcc48,2022-11-18T18:47:56Z,0.93132,ENGLISH_AUCTION,STARKWARE,Starkware::MintableERC721Token:00000163-b8f6-4da1-bae1-6e55973e1d45
0x02aa5201c73bfff99c722b4216a67ede44974ca2627454669a0e9dcbefcf2029,2022-11-26T10:57:30Z,1.172669999999999,ENGLISH_AUCTION,STARKWARE,Starkware::MintableERC721Token:00000627-1afb-4600-8972-1c60f436a8c0
0xcb322d24121c62ebce620eaffba821370567bed7,2021-09-24T21:28:27Z,2.51971,ENGLISH_AUCTION,STARKWARE,Starkware::MintableERC721Token:00000e9a-faef-42ca-b3be-b8133ae74e99
0x013f19cf63c72598e4eeb6acb9c6425fa7fbff41423919089f4edba0ba0d4a3f,2021-12-18T21:43:54Z,3.52502,SINGLE_SALE_OFFER,STARKWARE,Starkware::MintableERC721Token:00000e9a-faef-42ca-b3be-b8133ae74e99
0x065b33741ab87b4303a01b9ad5bb2c222c0ff38279a8c0b843452f97cf3a38f9,2022-03-25T10:02:55Z,3.702816,SINGLE_SALE_OFFER,STARKWARE,Starkware::MintableERC721Token:00000e9a-faef-42ca-b3be-b8133ae74e99
0x06d3884ba600c79cef12ed26a9cf9a3389c0cf8b853996e60ca25987fbda9880,2022-04-06T11:13:32Z,1.2287,ENGLISH_AUCTION,STARKWARE,Starkware::MintableERC721Token:0000181e-8f8b-49f5-aea3-cef36132ff05
0x033e7c02b29d18a46f93127062df5db6535cb34f3d0e043a339d2ebd8a3cca30,2022-08-09T19:19:18Z,0.6631800000000001,SINGLE_SALE_OFFER,STARKWARE,Starkware::MintableERC721Token:0000181e-8f8b-49f5-aea3-cef36132ff05
0x078acbbacf9c371827d89b85b6782fa4ebf1bdcb1df0cc70366f11d06bf65946,2022-11-17T16:19:31Z,0.577435,SINGLE_SALE_OFFER,STARKWARE,Starkware::MintableERC721Token:0000181e-8f8b-49f5-aea3-cef36132ff05
0x053f326d275b859dd290b91818c3c388f2c16bbb058d3382294f10a5fde03e67,2022-11-17T17:48:34Z,0.351114,SINGLE_BUY_OFFER,STARKWARE,Starkware::MintableERC721Token:0000181e-8f8b-49f5-aea3-cef36132ff05
0x028c52b721774aa983912038ff041f7b58d6d0d5ba2f6d97f454662bb6f92a8a,2022-11-17T20:56:05Z,0.58004,SINGLE_SALE_OFFER,STARKWARE,Starkware::MintableERC721Token:0000181e-8f8b-49f5-aea3-cef36132ff05
0x07824fc1f81a9b2a1585e79f43b3985de673ce089ecc2139afc1bee38d0fde50,2022-11-18T08:39:23Z,0.584775,SINGLE_SALE_OFFER,STARKWARE,Starkware::MintableERC721Token:0000181e-8f8b-49f5-aea3-cef36132ff05
0x1444b7cd9950eb6a626c7a1726997cb97ec55112178485d51cf3e3c1b7e872,2022-04-27T17:05:00Z,5.728947000000001,ENGLISH_AUCTION,STARKWARE,Starkware::MintableERC721Token:00001f85-9941-487c-91b2-35d56dff69c8
0x1761d4d2a40da11b02a6e96e3acf8603a5fd6bd7646956ed022375668b34c2,2022-03-30T16:46:49Z,9.087330000000001,ENGLISH_AUCTION,STARKWARE,Starkware::MintableERC721Token:00002b14-baac-4bbd-bd3c-d3a2df6adbc5
