0x0400f1901dba7a89e55f037b8809eebfd12b624abd54836f2d34f7d0ec3d2557,rare,2020,1995-06-11,left,Gastón,Pereiro,20,76,188
0x04002edaaf67c1a72a14e1343c17564fb739158b92ad0b88c156e21885e4ab1b,limited,2021,1997-01-11,,Felix,Torres,5,,187
0x04006cdb67af2adcfa68135d030c129c2d55ee13f7d085217c72754d35ec0e68,limited,2022,1994-01-23,,Alexander,Grant,5,75,180
0x0400192380372f184e068c886d526cac9ebaf624f433f76022ddbf67693e52d5,limited,2021,1998-07-22,right,Federico,Valverde,15,78,181
0x0400923ca172b0226f3e09ad4fab6c703452281178df35c735447e92d796666d,limited,2021,1995-09-14,right,Fernando,Calero,5,71,183
0x0400829c013b737066ee5bb5e4040dde955b846c91432c7ac64cd8ab31bc31c7,limited,2021,1993-09-04,both,Yannick,Carrasco,21,73,181
0x0400caa0265caab2f6e4fb107bf80bfaf56b225d32b19ef096e7f1416d4ab7b4,rare,2021,1996-04-30,,Robert,Rojas,2,,
0x04001edaf3e0de7b10ad594f8e956f3353281636bc49d8f4d29aec771bccf953,limited,2022,1997-03-07,,Tristan,Muyumba,6,,164
0x04009267211fa5a91dd4894e537e3f30831b14aae4f2ff59abcdd22367b98198,limited,2022,2002-02-22,,Bode,Davis,19,,
0x0400a1edb1ce98c925bb0ad59a9ad3d3ccf2c7c94298ac76173a7287e28ec9e8,limited,2022,2003-10-27,,Joffrey,Bazié,34,,
0x0400ec55588efa2b39589c83128de13677079fe2ad4a71522fd352ee4ae56b17,limited,2022,2004-12-30,,Owen,Wolff,33,66,176
0x0400d0c0db35b40523aa3b4e78398f2c9c13c3e0831e5c90db17126532dd558b,limited,2022,1992-06-16,right,Matthias,Zimmermann,25,76,177
